Name,Category,Address,Phone,Website,Description,Hours,Amenities,PriceLevel,Neighborhood,PhotoURL,Latitude,Longitude
"Aptos Pilates Studio","Pilates Studio","369 Trout Gulch Road, Aptos, CA 95003","(831) 688-1234","https://www.aptospilates.com","Classical and contemporary pilates instruction with certified instructors and small class sizes","Mon-Sat: 6:00 AM - 8:00 PM; Sun: 8:00 AM - 6:00 PM","Equipment; Private Sessions; Group Classes; Parking",3,"Aptos","","",""
"Therapeutic Massage Center","Massage Therapy","741 Soquel Avenue, Soquel, CA 95073","(831) 475-6789","https://www.therapeuticmassage.com","Licensed massage therapists specializing in deep tissue, sports massage, and therapeutic bodywork","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Parking; Insurance Accepted; Gift Certificates; Online Booking",2,"Soquel","","",""
"Capitola Wellness Spa","Spa & Wellness","852 Esplanade, Capitola, CA 95010","(831) 475-9012","https://www.capitolawellness.com","Full-service spa offering massage, facials, and wellness treatments in a beachside setting","Daily: 9:00 AM - 8:00 PM","Parking; Ocean Views; Couples Treatment Room; Retail Shop",3,"Capitola","","",""
"Santa Cruz Bootcamp","Fitness Bootcamp","Beach Flats Park, Santa Cruz, CA 95060","(831) 425-3456","https://www.santacruzbootcamp.com","Outdoor fitness bootcamp classes on the beach with certified trainers and high-energy workouts","Mon-Fri: 6:00 AM - 7:00 AM, 6:00 PM - 7:00 PM; Sat: 8:00 AM - 9:00 AM","Outdoor; Equipment Provided; All Levels; Group Motivation",2,"Santa Cruz","","",""
"Watsonville Community Fitness","Fitness Center","963 Main Street, Watsonville, CA 95076","(831) 724-1234","https://www.watsonvillefitness.com","Community-focused fitness center with affordable memberships, group classes, and personal training","Mon-Fri: 5:00 AM - 10:00 PM; Sat-Sun: 6:00 AM - 8:00 PM","Parking; Showers; Equipment; Childcare; Group Classes",1,"Watsonville","","",""
"Live Oak Yoga & Wellness","Yoga Studio","159 17th Avenue, Santa Cruz, CA 95062","(831) 475-5678","https://www.liveoakyoga.com","Welcoming yoga studio offering classes for all levels, meditation, and wellness workshops","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Parking; Equipment; Retail Shop; Workshops",2,"Live Oak","","",""
"Santa Cruz Acupuncture & Wellness","Acupuncture","456 Water Street, Santa Cruz, CA 95060","(831) 425-7890","https://www.santacruzacupuncture.com","Licensed acupuncturist providing traditional Chinese medicine, acupuncture, and wellness consultations","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Parking; Insurance Accepted; Traditional Medicine; Consultations",3,"Santa Cruz","","",""
"Capitola Beach Fitness","Fitness Bootcamp","Capitola Beach, Capitola, CA 95010","(831) 475-2345","https://www.capitolabeachfitness.com","Beach fitness classes including HIIT, yoga, and bootcamp workouts with ocean views","Mon-Fri: 6:00 AM - 7:00 AM, 6:00 PM - 7:00 PM; Sat: 8:00 AM - 9:00 AM","Beach Location; Equipment Provided; All Levels; Ocean Views",2,"Capitola","","",""
"Scotts Valley Wellness Center","Wellness Center","741 Mount Hermon Road, Scotts Valley, CA 95066","(831) 438-3456","https://www.scottsvalleywellness.com","Comprehensive wellness center offering acupuncture, massage, nutrition counseling, and holistic health services","Mon-Fri: 8:00 AM - 7:00 PM; Sat: 9:00 AM - 4:00 PM","Parking; Insurance Accepted; Multiple Services; Holistic Approach",3,"Scotts Valley","","",""
"Aptos Fitness Club","Fitness Center","852 Trout Gulch Road, Aptos, CA 95003","(831) 688-4567","https://www.aptosfitness.com","Full-service fitness club with cardio equipment, weight training, group classes, and personal training","Mon-Fri: 5:00 AM - 10:00 PM; Sat-Sun: 6:00 AM - 8:00 PM","Parking; Showers; Equipment; Personal Training; Group Classes",2,"Aptos","","",""
