Name,Category,Description,Address,City,Phone,Website,Latitude,Longitude,Neighborhood,Hours,Services,PriceLevel,IndoorOutdoor,Parking,Rating,PhotoURL,Tags,WellnessType,BusinessType
Watsonville Community Fitness,Fitness Center,Community-focused fitness center with affordable memberships,Community-focused fitness center with affordable memberships,group classes,(831) 889-0283,https://www.envision-fit.com/,CA,95076,(831) 724-1234,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: Closed; Sunday: Closed,,,Affordable Fitness,Parking,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fGwIk8-fM962pvjkIYC6Yw6gjudpuXhCDm_9l5JKmf63aGAN53SNX19sN42ttv2r1QGDh5akmlbuPVxEdwdbjEUxRwaKMlNkzktnm2NRkxMBPxoIAd23MpZhXA4OTa4TaICs1ureN6k_9JRKTm2210GLbxFrln0kvSA5GXyKUTqJx6QeuvvmTJcyamcC6mOrEOTF-iDZ_whkcXWHCpJZZ9rrXOt-WoZIyo_7TX5TLH6B-2OXBhpEfrv5XD4vAhseNIeQH-EjFYHyVvHwp7x33tEr4yr88mxjvgHlJfUsLmuw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,Private sessions available,,Licensed practitioners
DESUAR Spa,Spa & Wellness,Luxury spa offering CASA GLOWSSAGE lymphatic massage and comprehensive wellness treatments.,,789 Mission Street,(831) 246-8821,https://desuar.com/,,,,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,-122.0308,Wellness Services,,Lymphatic Massage,4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2c9QgndkOo2nNSRa57WF4od0ptVUQ-RUytcD-Oss5iuK8fhASg8TrpK9b3jmmK41MF6205F6xqaEvrShTKS_1ilu71z_7lexY_SOXoh7qAVqcxDIVvzbSCBPl7hcz2RBzr24UkjwSTQsw-B4UJjL8-VhGRiEZma99NMguMOYoivKMIvvqDo_nH2xlhGlFI_19VvYFLCXv8L-kOfzOzw_EancP3SkkNEpup5uN1mmAgf2y-FkbVU5JoqvTY4uIWOckZEEOZgFNKLsIyl564_bQFkgLBngZ5YWUiVjEB7QHxLGw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,Beginner friendly,Holiday hours may vary,Group sessions available
The Spa at Chaminade,Spa & Wellness,Luxurious mountain spa offering massages,Luxurious mountain spa offering massages,facials,(831) 465-3465,https://www.chaminade.com/spa-fitness/,CA,95065,(831) 475-5600,Monday: Closed; Tuesday: Closed; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 10:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,,,Scenic Views,Mountain Spa,3.5,Spa & Wellness,Appointments recommended,Resort Spa,Resort Spa
Capitola Wellness Spa,Spa & Wellness,Full-service spa offering massage,Full-service spa offering massage,facials,(808) 212-3982,https://www.seaglasswellness.com/,CA,95010,(831) 475-9012,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,,,Massage,Parking,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fJk7gUdDTw3CBYSWkFHuSEGVq_iISxaijdEgJHVcRme6SA18rk881164s5V19KJsalc5KKexid7S_F2ssh6_ONSNmf5bU-CMbkWYZIzuHlm1piziqRIwItr5QzH34QqihWhuLXgkBLCV6KwckkgvAn_-X32xXw7B_gnVHBfMKqgVb3x9yB9zkrQ71Ne-r_WDYODqFEeVvHAjHQYl8xZPw5ZUvZ-zdxkPHwTC9wcMKrcjMAQ4CINvhFhZ5jUCS2e0Qo2D8dfe5zJPwYD4Di2jKc1pLopxwUBddI_3ePsyVnWA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,Private sessions available,,Licensed practitioners
Scotts Valley Wellness Center,Wellness Center,Comprehensive wellness center offering acupuncture,and holistic health services.,Comprehensive wellness center offering acupuncture,(831) 278-2426,https://thescottsvalleywellnesscenter.com/,CA 95066,Scotts Valley,CA,,(831) 438-3456,-122.0147,Holistic Health,Wellness Services,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2ckrvzD_lFLMZdpncYEN8iXxsDsg3WE0sWXnWdP4UC0dU_6arH5gnhES5N-1rHHh8miscxCBvYJhwMyPixuL3Cgt9xbfxsB-_hZAWgnzWfToAoYm2if9dbiXcW4dhXjhmN3qa_sTcy-RPQsXHz3Y1ud7aTj1Xig88X2rOPMiqnnRp8YedPcmEyCRoJ52deNrjkOUJx0ti252_CLxfCB38br_M3QM64bjw6ktbH7lebd6rpfCgf5zhEtZAsRq1fALB39_W8TjcPGZCdfeuLh2DMBE8OLPKW3zaY2tW7hJSyGcQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,Walk-ins welcome,Holistic Health,Wellness Services
Kanda Thai Massage,Massage Therapy,Authentic Thai massage specializing in deep tissue and therapeutic bodywork.,,321 Soquel Avenue,(831) 427-9768,https://kandathaimassage.setmore.com/,,,,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 10:00 PM,-122.0308,Traditional Thai,Thai Massage,Deep Tissue,4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fhnJH3nO7dFZfyDsLw_lgHpxyfhTMsOw4SLIqwCwpD8AbtQ0wgph0V0orjB37eBBNWmn7tSTrXPTMbpUrRHkBWR5uqZLD8oTqBvv2J35H1a74sPQrZsvSyKqcOzABhgzRiVz0_li6xHTd5wP3TQuy0_KuZcc_kgd_GzC2NhqxrZTyo6690csGXnQdAhyQLQY64fGzZ3vMzcEtggfy2QKz0QqJrPllXeAj_Oa-x0wYKeiPCZ2fzmlmfjj8Ou9R5A7sY2HmtMoF_QbFOR0rMHm3vXHE5wndEvceysQBWcFPisQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,50+,Evenings and weekends,Beginner to Advanced
Therapeutic Massage Center,Massage Therapy,Licensed massage therapists specializing in deep tissue,Licensed massage therapists specializing in deep tissue,sports massage,(831) 244-3327,http://www.massagewithk.com/,CA,95073,(831) 475-6789,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 6:30 PM; Wednesday: 9:00 AM – 6:30 PM; Thursday: 9:00 AM – 6:30 PM; Friday: 9:00 AM – 6:30 PM; Saturday: 9:00 AM – 2:30 PM; Sunday: Closed,,,Parking,Professional Staff,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fZNyD5YBo8LGhQgY5JxIEZVrk4fZlc6CprffFI0nlAOC7JCiKzo-XNy8Gm0oQksy1VA8EQ-hNZL61_y6fVqy74rr21x2ijH_EnCGAfIaBS2HuMD_9AMgQybRHbSJQHid-u0O4TbHQvsx-1QUEXBis77LChP7-1S95IYLjbPc5N2B4Qq-y6qd-pysyQsu_ep4p7ODEPXUGrzgvfW7MGj1vnRwQjaRk9dgnAr16QQTn5v8dpQd2yj-TIT_E4354ZAdPSxJki3Npgt1pXRIzR8VDK0HVd5L50bCVRh7kYxOM&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,All Ages,Moderate,Walk-ins welcome
Hot Elevation Studios,Fitness Studio,Hot Pilates,barre,TRX,(831) 332-9543,https://hotelevationstudios.com/,this wellness facility offers a comprehensive range of services to support your health and wellness journey.,,987 Capitola Road,Monday: 6:00 AM – 1:00 PM,CA 95010,,4:00 – 7:30 PM; Friday: 6:00 AM – 1:00 PM,4:00 – 6:15 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: 8:00 AM – 1:00 PM,HIIT,Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM,Free WiFi,Barre,Street Parking Available
Santa Cruz Bootcamp,Fitness Bootcamp,Outdoor fitness bootcamp classes on the beach with certified trainers and high-energy workouts.,,Beach Flats Park,(831) 227-7491,http://torkc.com/,,,,Monday: 6:00 AM – 1:00 PM; Tuesday: 5:00 AM – 1:00 PM; Wednesday: 6:00 AM – 1:00 PM; Thursday: 5:00 AM – 1:00 PM; Friday: 6:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,-122.0308,Group Training,,Outdoor Bootcamp,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2cCizeUEPoWbjVBqWjJllP_02Ar-Ih8QhcRZQGKut2myxbiZxLNpbCa_fY9UevEBDPepI15Yuc6bUQGsDpMyLpet0IbsBBmyZiBEfkUaW6AUgURIE2oNWRHkUAYIVSb4UMbJU60a6qEpHzbkL_hKOEkIScwoXDBbkDY75iqxWyLv-k28-W7ARi1NVQFVK07_3QDap5nQvLLaAFn4rMunOY6J1IH257LJSUK4i8vFG8FJR57eU7dfaSvnh3PbO6ZG5wjtKskv-UCvQoAAuyhMI4AeVF5fzwVRwflalL-UGv2YhQz6QeNA1geH_bnivFNav4NsRBoKfo8bxbLIIFVmzwzVOvXU62uN8MMS3Wf4Iaagu8NZH_hzm313dOg5-iDyD6VXDJwCgHuGXVvOmSjQEMzRbERpycMtIo9H9RPVr1K0VN2&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,Beginner friendly,Holiday hours may vary,Group sessions available
Capitola Beach Fitness,Fitness Bootcamp,Beach fitness classes including HIIT,Beach fitness classes including HIIT,yoga,(831) 332-9543,https://hotelevationstudios.com/,CA,95010,(831) 475-2345,Monday: 6:00 AM – 1:00 PM,,,4:00 – 7:30 PM; Friday: 6:00 AM – 1:00 PM,4:00 – 6:15 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: 8:00 AM – 1:00 PM,Evenings and weekends,Family friendly,Bootcamp,Clean Facilities,
Santa Cruz Acupuncture & Wellness,Acupuncture,Licensed acupuncturist providing traditional Chinese medicine,Licensed acupuncturist providing traditional Chinese medicine,acupuncture,(831) 331-6901,http://santacruzfamilyacupuncture.com/,CA,95060,(831) 425-7890,Monday: Closed; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,,,Parking,Professional Staff,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dDQC1vWDZ2J4qFti-F7hqeP7jdre2wceXOs1YRrJWciyfMhPveSHlFMgAUhWPQxG8PTeSsJ7-MHIuC0dytW8nlDvx5kcgX0i2wls9ZRhqrLkLi8WBYYlRdKGxJnNeYBr_LeWLFItq2t5QXHyQxlrY_ljDb9d6FMpGEE3NwXp6_fjK3FcMKdzduCpvfDtLV0Lua7dunRugsBJ3dY4gkRyknA1v0jxeU_MXnWbhTbp-0BpmW1AjhiHOavp27aPZ-t6sRge4EFeblV3PUg2-mDpEL_4dZVRZCTmADBVHSgSEhrg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,All Ages,Premium,Walk-ins welcome
Mountain View Yoga,Yoga Studio,Mountain retreat yoga studio in the redwoods offering forest yoga and meditation.,,456 Highway 9,(650) 713-4555,https://www.yogasix.com/mountain-view,,,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 2:00 PM; Sunday: 6:00 AM – 8:00 PM,-122.1217,Hiking Yoga,,Forest Yoga,4.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fzRPEd-BFAefQNmWRjflq8wjbylMW2j6Njii4_QGwZRX10U3x95hjL29a7x5etD8KoK4ZmOa_hBSC_h7efKDsuYkXahLG1BB3idNHakAlOGZW-Tg_oUkd6wwh1v5tX0Kf_8PYI9R_zskdFoYFy8l3emTG-JYOeIj_Wp63udU4IqAhG9BytNCwhJ1Rur02RuMsSbjD742JfGFDmmNzgnruoz1WDiMBWn4LH65Ga9sRM46XNtcJOw-x_1akG0ilFEsKycB7A-ibCjGNkMjtusyZIifMWgd3GB5Q851wXReo7jA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,Beginner friendly,Holiday hours may vary,Group sessions available
